d_loss,epoch,g_loss,step
0.4690755009651184,0,0.8974633812904358,49
0.2541402578353882,0,1.0554041862487793,99
0.24216125905513763,0,1.010453224182129,149
0.3340783715248108,0,2.1450371742248535,199
0.13504087924957275,0,1.702641248703003,249
0.13412143290042877,0,1.5021188259124756,299
0.07530935108661652,0,2.528470993041992,349
0.058995556086301804,0,2.990765333175659,399
0.04690686613321304,1,3.8115665912628174,449
0.06334134191274643,1,4.3849945068359375,499
0.02263663522899151,1,4.680584907531738,549
0.06035042926669121,1,4.110325336456299,599
0.1276322454214096,1,2.7005763053894043,649
0.05496786907315254,1,4.128589153289795,699
0.12065307050943375,1,3.016261100769043,749
0.05702716112136841,1,4.372889518737793,799
0.0896199494600296,1,5.8757476806640625,849
0.27856555581092834,2,2.9272847175598145,899
0.11956286430358887,2,3.146091938018799,949
0.10202622413635254,2,3.222745895385742,999
0.2094845175743103,2,2.4225783348083496,1049
0.24263162910938263,2,2.393754005432129,1099
0.16157197952270508,2,2.31953501701355,1149
0.23938778042793274,2,1.8827753067016602,1199
0.3118186295032501,2,1.913183331489563,1249
0.277415007352829,3,1.815011739730835,1299
0.2504504323005676,3,1.8189377784729004,1349
0.21143682301044464,3,1.8960821628570557,1399
0.2270977795124054,3,2.0806760787963867,1449
0.21371981501579285,3,2.3890857696533203,1499
0.18801847100257874,3,2.14225435256958,1549
0.1976604461669922,3,1.9189939498901367,1599
0.21652521193027496,3,1.9189931154251099,1649
0.148946613073349,3,2.2995471954345703,1699
0.2077723890542984,4,2.0611348152160645,1749
0.1822328269481659,4,2.355905294418335,1799
0.15712039172649384,4,2.5062127113342285,1849
0.2232218235731125,4,2.326625347137451,1899
0.15669497847557068,4,2.4495692253112793,1949
0.16890893876552582,4,2.58882737159729,1999
0.16852591931819916,4,2.5057904720306396,2049
0.1389756202697754,4,2.580357074737549,2099
0.208516925573349,4,2.56843638420105,2149
0.13506369292736053,5,2.6621809005737305,2199
0.1400856226682663,5,2.5763025283813477,2249
0.17905791103839874,5,2.6082630157470703,2299
0.1716642826795578,5,2.6368327140808105,2349
0.18087109923362732,5,2.5615522861480713,2399
0.18174761533737183,5,2.5810201168060303,2449
0.12439219653606415,5,2.4488024711608887,2499
0.13270576298236847,5,2.629326343536377,2549
0.2065867781639099,6,2.608123540878296,2599
0.1512630581855774,6,2.728254795074463,2649
0.16626420617103577,6,2.8784680366516113,2699
0.15537625551223755,6,2.5361907482147217,2749
0.1997724026441574,6,2.565380573272705,2799
0.2071143239736557,6,2.5306997299194336,2849
0.17034883797168732,6,2.412168025970459,2899
0.18099725246429443,6,2.7291460037231445,2949
0.24232850968837738,6,2.560164213180542,2999
0.16870614886283875,7,2.6304965019226074,3049
0.2078949213027954,7,2.797360897064209,3099
0.22196081280708313,7,2.7304978370666504,3149
0.17951613664627075,7,2.6094672679901123,3199
0.218019038438797,7,2.7445566654205322,3249
0.18372033536434174,7,2.611039638519287,3299
0.2111952006816864,7,2.7220520973205566,3349
0.1868835687637329,7,2.6460447311401367,3399
0.1759236603975296,8,2.476278781890869,3449
0.18690942227840424,8,2.507019519805908,3499
0.23063677549362183,8,2.4065067768096924,3549
0.2205415964126587,8,2.5345852375030518,3599
0.2395927906036377,8,2.6095752716064453,3649
0.23150768876075745,8,2.480193614959717,3699
0.2272184193134308,8,2.4226744174957275,3749
0.17558759450912476,8,2.2967543601989746,3799
0.22749727964401245,8,2.3946194648742676,3849
0.2423636019229889,9,2.431338310241699,3899
0.24171072244644165,9,2.4081873893737793,3949
0.2568095922470093,9,2.3293075561523438,3999
0.28856590390205383,9,2.5404605865478516,4049
0.19753730297088623,9,2.3546578884124756,4099
0.23919150233268738,9,2.2008628845214844,4149
0.24993088841438293,9,2.0333731174468994,4199
0.2502550780773163,9,2.4729127883911133,4249
0.23627693951129913,9,2.1122617721557617,4299
0.2098250389099121,10,2.191521644592285,4349
0.2515302300453186,10,2.378483295440674,4399
0.3105523884296417,10,2.2810590267181396,4449
0.27499932050704956,10,2.1722333431243896,4499
0.33642578125,10,2.1887359619140625,4549
0.23137134313583374,10,2.225025177001953,4599
0.2807934284210205,10,1.8720453977584839,4649
0.3080922067165375,10,2.0573039054870605,4699
0.265220046043396,11,2.059741497039795,4749
0.2578170895576477,11,2.2594547271728516,4799
0.35887646675109863,11,2.1333565711975098,4849
0.25382059812545776,11,2.0584983825683594,4899
0.29945096373558044,11,2.1784157752990723,4949
0.22747454047203064,11,1.8169981241226196,4999
0.33619987964630127,11,2.6258912086486816,5049
0.37635910511016846,11,1.677471399307251,5099
0.40300890803337097,11,1.864023208618164,5149
0.3036783039569855,12,2.036001205444336,5199
0.3918139338493347,12,1.8426405191421509,5249
0.32747548818588257,12,1.9624615907669067,5299
0.32946696877479553,12,1.8500447273254395,5349
0.3722301125526428,12,1.7798619270324707,5399
0.3434174060821533,12,1.767812728881836,5449
0.35164526104927063,12,1.9193605184555054,5499
0.3625810742378235,12,1.8390862941741943,5549
0.3836928606033325,13,1.9022865295410156,5599
0.32060644030570984,13,1.894187569618225,5649
0.346017062664032,13,2.041530132293701,5699
0.38767164945602417,13,1.7941234111785889,5749
0.3715435266494751,13,1.747448444366455,5799
0.4027690291404724,13,1.6728334426879883,5849
0.289225310087204,13,1.6091670989990234,5899
0.32874369621276855,13,1.7639679908752441,5949
0.279518187046051,13,2.067366123199463,5999
0.08384693413972855,14,2.426285743713379,6049
0.06947261095046997,14,2.54954195022583,6099
0.3189469575881958,14,2.2344000339508057,6149
0.37821024656295776,14,1.851498007774353,6199
0.377359002828598,14,1.8368998765945435,6249
0.3621572256088257,14,1.9161237478256226,6299
0.39171043038368225,14,1.8644158840179443,6349
0.3706750273704529,14,1.7949132919311523,6399
0.23078270256519318,14,2.135485887527466,6449
0.4585711359977722,15,1.8870301246643066,6499
0.41924887895584106,15,1.5638082027435303,6549
0.41737261414527893,15,1.5655934810638428,6599
0.3429914116859436,15,1.642425775527954,6649
0.4461590647697449,15,1.677702784538269,6699
0.3647983968257904,15,1.7927331924438477,6749
0.3627811074256897,15,1.6438647508621216,6799
0.3656997084617615,15,1.8449991941452026,6849
0.3904150128364563,16,1.945373773574829,6899
0.3967103958129883,16,1.8110568523406982,6949
0.3271346092224121,16,1.667710542678833,6999
0.4397129416465759,16,1.605175256729126,7049
0.3421270251274109,16,1.780346155166626,7099
0.36708444356918335,16,1.5433218479156494,7149
0.41312524676322937,16,1.652606725692749,7199
0.3864973187446594,16,1.6391205787658691,7249
0.4557991623878479,16,1.5418685674667358,7299
0.4018154442310333,17,1.6086137294769287,7349
0.36935174465179443,17,1.8404172658920288,7399
0.37985318899154663,17,1.6972376108169556,7449
0.3946034908294678,17,1.6178004741668701,7499
0.40262335538864136,17,1.6402889490127563,7549
0.3510484993457794,17,1.6308624744415283,7599
0.37720179557800293,17,1.5750371217727661,7649
0.4259435534477234,17,1.6552610397338867,7699
0.4958932101726532,18,1.30716872215271,7749
0.2569502592086792,18,1.722066879272461,7799
0.520085334777832,18,1.523699164390564,7849
0.44339022040367126,18,1.4705274105072021,7899
0.46070045232772827,18,1.487932801246643,7949
0.401344358921051,18,1.3622336387634277,7999
0.311116099357605,18,1.6830170154571533,8049
0.32821017503738403,18,1.5088746547698975,8099
0.43461519479751587,18,1.4882311820983887,8149
0.40595269203186035,19,1.7165582180023193,8199
0.4154203534126282,19,1.572200894355774,8249
0.385288804769516,19,1.4455265998840332,8299
0.40285587310791016,19,1.7233800888061523,8349
0.2973204553127289,19,1.6362075805664062,8399
0.41085726022720337,19,1.4633092880249023,8449
0.39202776551246643,19,1.496537208557129,8499
0.3941051959991455,19,1.906182050704956,8549
0.09596328437328339,19,2.3920180797576904,8599
0.06808844953775406,20,2.904069423675537,8649
0.04214216768741608,20,2.8800532817840576,8699
0.03559179604053497,20,3.3064208030700684,8749
0.02513233944773674,20,4.053703784942627,8799
0.02709057182073593,20,3.676729679107666,8849
0.032994434237480164,20,4.556301593780518,8899
0.01076067890971899,20,4.920577049255371,8949
0.010909199714660645,20,5.310431480407715,8999
0.009099392220377922,21,5.282698154449463,9049
0.02075888030230999,21,5.7089691162109375,9099
0.009379813447594643,21,5.675863742828369,9149
0.006899404805153608,21,6.405279636383057,9199
0.0060747903771698475,21,6.632114410400391,9249
0.007096824236214161,21,6.849798679351807,9299
0.004872608929872513,21,6.932674407958984,9349
0.0048390780575573444,21,6.614923477172852,9399
0.013886439613997936,21,7.278602123260498,9449
0.005671379156410694,22,6.685848712921143,9499
0.005978390108793974,22,6.626411437988281,9549
0.0046116504818201065,22,6.756932258605957,9599
0.006856004241853952,22,5.914844036102295,9649
0.018887922167778015,22,3.488286256790161,9699
0.026286721229553223,22,4.770388126373291,9749
0.010902672074735165,22,4.55291223526001,9799
0.013704583048820496,22,4.646249294281006,9849
0.008724070154130459,23,5.324887275695801,9899
0.026558615267276764,23,6.173696517944336,9949
0.05152237042784691,23,4.3244123458862305,9999
0.007166595663875341,23,6.778919219970703,10049
0.020879272371530533,23,6.588233470916748,10099
0.007919356226921082,23,6.557234764099121,10149
0.16795946657657623,23,12.087074279785156,10199
0.003802773542702198,23,6.4178853034973145,10249
0.00956143531948328,23,4.662529468536377,10299
0.007727740332484245,24,5.275898456573486,10349
0.00535996537655592,24,5.691518783569336,10399
0.0077385008335113525,24,5.745203495025635,10449
0.027769751846790314,24,6.464264392852783,10499
0.0048699695616960526,24,5.889622688293457,10549
0.0047568678855896,24,5.563328742980957,10599
0.004039077088236809,24,6.9447736740112305,10649
0.004685814026743174,24,7.738767147064209,10699
0.0029847277328372,24,7.900069236755371,10749
0.0025275268126279116,25,8.067647933959961,10799
0.006498191971331835,25,7.1724853515625,10849
0.0033642523922026157,25,7.689316749572754,10899
0.003637391608208418,25,7.302830696105957,10949
0.003937467932701111,25,7.107305526733398,10999
0.0024406795855611563,25,7.440634250640869,11049
0.0031793348025530577,25,8.33448600769043,11099
0.02577214501798153,25,6.922779083251953,11149
0.0019394736737012863,26,8.095473289489746,11199
0.023694701492786407,26,5.99041748046875,11249
0.04361836612224579,26,5.997694969177246,11299
0.0035414211452007294,26,6.794594764709473,11349
0.004543709103018045,26,6.01357364654541,11399
0.00433658342808485,26,6.407593727111816,11449
0.07373259961605072,26,6.793637275695801,11499
0.0036284937523305416,26,6.303816318511963,11549
0.002818408655002713,26,6.34492826461792,11599
0.002866970608010888,27,6.162664890289307,11649
0.002425507176667452,27,6.697457313537598,11699
0.0021594222635030746,27,7.443930625915527,11749
0.002197562251240015,27,7.296859264373779,11799
0.002030816627666354,27,6.982275009155273,11849
0.0029480932280421257,27,6.938722610473633,11899
0.002429709769785404,27,7.41037130355835,11949
0.002049897098913789,27,7.8336615562438965,11999
0.0011708720121532679,28,7.520937919616699,12049
0.002039608545601368,28,8.474852561950684,12099
0.002453224267810583,28,8.210578918457031,12149
0.0026706254575401545,28,9.007923126220703,12199
0.006431338377296925,28,9.823308944702148,12249
0.0026538390666246414,28,6.711454391479492,12299
0.00999458972364664,28,5.916330337524414,12349
0.03349243476986885,28,7.4530029296875,12399
0.003226976841688156,28,6.3286967277526855,12449
0.0031495532020926476,29,6.457058429718018,12499
0.05068686604499817,29,7.283493518829346,12549
0.005866824183613062,29,6.237222671508789,12599
0.044483281672000885,29,6.310300827026367,12649
0.005430767312645912,29,5.856083869934082,12699
0.005554791074246168,29,6.010500907897949,12749
0.010758478194475174,29,6.869032859802246,12799
0.020432675257325172,29,5.816739082336426,12849
0.0063066137954592705,29,6.300562381744385,12899
0.004165781196206808,30,6.499394416809082,12949
