epoch,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,49,,,,0.8125,,0.5493876934051514,,
0,99,,,,0.875,,0.35349759459495544,,
0,109,,,,,,,0.9368932247161865,0.2021126002073288
0,109,,,0.8168373107910156,,0.48430928587913513,,,
1,149,,,,1.0,,0.053565334528684616,,
1,199,,,,1.0,,0.10321999341249466,,
1,219,,,,,,,0.9417475461959839,0.1639338880777359
1,219,,,0.9294652938842773,,0.1932085007429123,,,
2,249,,,,0.875,,0.3621841073036194,,
2,299,,,,1.0,,0.04201257973909378,,
2,329,,,,,,,0.9417475461959839,0.14739809930324554
2,329,,,0.9431172013282776,,0.15361323952674866,,,
3,349,,,,1.0,,0.04291717708110809,,
3,399,,,,1.0,,0.010296345688402653,,
3,439,,,,,,,0.9563106894493103,0.1335318684577942
3,439,,,0.9653014540672302,,0.1032598614692688,,,
4,449,,,,1.0,,0.09284786880016327,,
4,499,,,,0.8125,,0.29935532808303833,,
4,549,,,,1.0,,0.07340846955776215,,
4,549,,,,,,,0.917475700378418,0.19812186062335968
4,549,,,0.9527872800827026,,0.11776536703109741,,,
5,599,,,,1.0,,0.006693343631923199,,
5,649,,,,0.9375,,0.15144765377044678,,
5,659,,,,,,,0.9320388436317444,0.1739339530467987
5,659,,,0.9624573588371277,,0.10135229676961899,,,
6,699,,,,0.875,,0.2477906495332718,,
6,749,,,,0.875,,0.27539148926734924,,
6,769,,,,,,,0.9320388436317444,0.16535013914108276
6,769,,,0.9579067230224609,,0.11185550689697266,,,
7,799,,,,0.9375,,0.11086787283420563,,
7,849,,,,1.0,,0.0523693673312664,,
7,879,,,,,,,0.9271844625473022,0.1966216117143631
7,879,,,0.9664391279220581,,0.08548282086849213,,,
8,899,,,,1.0,,0.04963671788573265,,
8,949,,,,1.0,,0.005213307682424784,,
8,989,,,,,,,0.9417475461959839,0.15746209025382996
8,989,,,0.9641638398170471,,0.09613929688930511,,,
9,999,,,,1.0,,0.030680522322654724,,
9,1049,,,,1.0,,0.014823961071670055,,
9,1099,,,,1.0,,0.024960380047559738,,
9,1099,,,,,,,0.9223300814628601,0.21505776047706604
9,1099,,,0.9709897637367249,,0.07662743330001831,,,
10,1149,,,,0.9375,,0.0601404570043087,,
10,1199,,,,1.0,,0.05585991591215134,,
10,1209,,,,,,,0.9563106894493103,0.14205926656723022
10,1209,,,0.9738339185714722,,0.07108452916145325,,,
11,1249,,,,0.9375,,0.12622305750846863,,
11,1299,,,,1.0,,0.029092585667967796,,
11,1319,,,,,,,0.9417475461959839,0.1694694608449936
11,1319,,,0.9704209566116333,,0.08348646759986877,,,
12,1349,,,,1.0,,0.003948730416595936,,
12,1399,,,,0.875,,0.2297435700893402,,
12,1429,,,,,,,0.946601927280426,0.13895730674266815
12,1429,,,0.9709897637367249,,0.0894196406006813,,,
13,1449,,,,1.0,,0.011486371047794819,,
13,1499,,,,1.0,,0.04776715859770775,,
13,1539,,,,,,,0.9611650705337524,0.10675905644893646
13,1539,,,0.9732650518417358,,0.0810137614607811,,,
14,1549,,,,0.9375,,0.08100103586912155,,
14,1599,,,,0.9375,,0.41451629996299744,,
14,1649,,,,1.0,,0.006438836921006441,,
14,1649,,,,,,,0.946601927280426,0.16183128952980042
14,1649,,,0.9761092066764832,,0.0636618360877037,,,
15,1699,,,,1.0,,0.0036413446068763733,,
15,1749,,,,1.0,,0.038645513355731964,,
15,1759,,,,,,,0.9223300814628601,0.17019952833652496
15,1759,,,0.9783845543861389,,0.0613543838262558,,,
16,1799,,,,1.0,,0.04543830081820488,,
16,1849,,,,1.0,,0.0014167716726660728,,
16,1869,,,,,,,0.9320388436317444,0.2833212614059448
16,1869,,,0.9783845543861389,,0.05970659852027893,,,
17,1899,,,,1.0,,0.008634609170258045,,
17,1949,,,,0.9375,,0.05627016723155975,,
17,1979,,,,,,,0.9368932247161865,0.19854167103767395
17,1979,,,0.9721274375915527,,0.06966790556907654,,,
18,1999,,,,1.0,,0.007711319252848625,,
18,2049,,,,1.0,,0.010571585036814213,,
18,2089,,,,,,,0.917475700378418,0.21580442786216736
18,2089,,,0.9761092066764832,,0.07359234243631363,,,
19,2099,,,,1.0,,0.0020188007038086653,,
19,2149,,,,0.9375,,0.07730516046285629,,
19,2199,,,,0.9285714030265808,,0.09062545746564865,,
19,2199,,,,,,,0.9320388436317444,0.20036117732524872
19,2199,,,0.9766780138015747,,0.05687681585550308,,,
20,2249,,,,1.0,,0.06474315375089645,,
20,2299,,,,1.0,,0.015615681186318398,,
20,2309,,,,,,,0.9368932247161865,0.1620454639196396
20,2309,,,0.9800910353660583,,0.05667981877923012,,,
21,2349,,,,0.9375,,0.10432207584381104,,
21,2399,,,,1.0,,0.006635622121393681,,
21,2419,,,,,,,0.946601927280426,0.1949933022260666
21,2419,,,0.9761092066764832,,0.06595531105995178,,,
22,2449,,,,1.0,,0.023779161274433136,,
22,2499,,,,1.0,,0.0026713181287050247,,
22,2529,,,,,,,0.9417475461959839,0.16497458517551422
22,2529,,,0.9829351305961609,,0.052871327847242355,,,
23,2549,,,,1.0,,0.04542134702205658,,
23,2599,,,,1.0,,0.010737931355834007,,
23,2639,,,,,,,0.9320388436317444,0.19417999684810638
23,2639,,,0.9812286496162415,,0.05886105075478554,,,
24,2640,0.961904764175415,0.0867919996380806,,,,,,
